Date,Open,High,Low,Close,Volume,Market Cap
"Mar 27, 2017",972.05,1046.4,971.98,1045.77,372535000.0,15785000000
"Mar 26, 2017",974.01,1007.96,954.19,966.73,303668000.0,15814800000
"Mar 25, 2017",936.54,975.76,903.71,972.78,435803000.0,15204800000
"Mar 24, 2017",1038.45,1040.47,934.36,937.52,491038000.0,16857000000
"Mar 23, 2017",1050.05,1058.01,1028.93,1038.59,248540000.0,17043400000
"Mar 22, 2017",1120.65,1120.65,1014.21,1049.14,380841000.0,18187100000
"Mar 21, 2017",1055.36,1122.43,1055.36,1120.54,337391000.0,17125600000
"Mar 20, 2017",1037.24,1063.03,1036.68,1054.23,286530000.0,16829800000
"Mar 19, 2017",976.73,1069.91,976.73,1036.74,406648000.0,15846000000
"Mar 18, 2017",1099.69,1114.07,957.65,973.82,621302000.0,17838700000
"Mar 17, 2017",1180.16,1180.16,1099.57,1100.23,706599000.0,19141800000
"Mar 16, 2017",1251.33,1257.98,1152.44,1187.81,638568000.0,20293700000
"Mar 15, 2017",1240.16,1251.61,1239.75,1249.61,297805000.0,20110400000
"Mar 14, 2017",1232.16,1244.81,1220.72,1240.0,245306000.0,19978200000
"Mar 13, 2017",1221.78,1237.37,1217.03,1231.92,380277000.0,19807700000
"Mar 12, 2017",1176.62,1226.98,1175.36,1221.38,227176000.0,19073300000
"Mar 11, 2017",1116.32,1193.83,1116.32,1175.83,283320000.0,18093700000
"Mar 10, 2017",1189.36,1270.47,1077.25,1116.72,563796000.0,19275300000
"Mar 09, 2017",1150.35,1197.46,1141.23,1188.49,212283000.0,18640900000
"Mar 08, 2017",1223.23,1232.16,1148.08,1150.0,332603000.0,19819800000
"Mar 07, 2017",1273.21,1275.55,1204.8,1223.54,291256000.0,20627100000
"Mar 06, 2017",1267.47,1276.0,1264.6,1272.83,153657000.0,20531900000
"Mar 05, 2017",1254.29,1267.29,1238.06,1267.12,134127000.0,20316000000
"Mar 04, 2017",1277.43,1279.4,1230.51,1255.15,183270000.0,20688800000
"Mar 03, 2017",1250.71,1280.31,1250.71,1274.99,315739000.0,20253700000
"Mar 02, 2017",1224.68,1262.13,1215.62,1251.01,368275000.0,19829800000
"Mar 01, 2017",1180.04,1222.5,1179.69,1222.5,229057000.0,19104800000
"Feb 28, 2017",1180.72,1193.25,1171.82,1179.97,184956000.0,19113600000
"Feb 27, 2017",1163.78,1181.98,1163.38,1179.97,131570000.0,18837300000
"Feb 26, 2017",1144.27,1167.47,1130.2,1165.2,116486000.0,18518900000
"Feb 25, 2017",1170.41,1174.85,1124.59,1143.84,139961000.0,18939500000
"Feb 24, 2017",1172.71,1200.39,1131.96,1173.68,330759000.0,18974400000
"Feb 23, 2017",1117.27,1176.62,1116.96,1166.72,189454000.0,18075200000
"Feb 22, 2017",1114.8,1125.39,1100.55,1117.44,136100000.0,18033400000
"Feb 21, 2017",1079.28,1117.25,1076.93,1115.3,186869000.0,17456900000
"Feb 20, 2017",1048.69,1080.49,1041.69,1079.98,109478000.0,16960200000
"Feb 19, 2017",1054.76,1056.81,1043.46,1047.87,77423300.0,17056600000
"Feb 18, 2017",1049.21,1061.1,1046.96,1054.42,99073500.0,16964800000
"Feb 17, 2017",1026.12,1053.17,1025.64,1046.21,136474000.0,16589600000
"Feb 16, 2017",1007.65,1033.37,1007.65,1027.44,122277000.0,16289100000
"Feb 15, 2017",1006.21,1008.84,1001.58,1007.48,89759400.0,16264100000
"Feb 14, 2017",991.74,1011.51,986.47,1004.55,137946000.0,16028000000
"Feb 13, 2017",998.88,1002.1,976.0,990.64,100607000.0,16141500000
"Feb 12, 2017",1003.52,1004.76,996.92,999.18,67530000.0,16214700000
"Feb 11, 2017",988.9,1009.29,982.83,1004.45,102261000.0,15976700000
"Feb 10, 2017",995.63,998.9,946.69,988.67,190452000.0,16083600000
"Feb 09, 2017",1064.7,1088.99,953.34,994.38,407220000.0,17197100000
"Feb 08, 2017",1062.32,1078.97,1037.49,1063.07,201855000.0,17156700000
"Feb 07, 2017",1040.14,1061.93,1040.14,1061.35,146007000.0,16796600000
"Feb 06, 2017",1028.4,1044.64,1028.16,1038.15,111762000.0,16605400000
"Feb 05, 2017",1043.52,1043.63,1022.37,1027.34,114208000.0,16847400000
"Feb 04, 2017",1031.33,1045.9,1015.16,1042.9,155064000.0,16648800000
"Feb 03, 2017",1011.46,1033.87,1008.79,1029.91,201278000.0,16326100000
"Feb 02, 2017",990.0,1013.52,983.22,1011.8,145821000.0,15977800000
"Feb 01, 2017",970.94,989.11,970.74,989.02,150110000.0,15667900000
"Jan 31, 2017",920.96,972.02,920.96,970.4,164582000.0,14859700000
"Jan 30, 2017",920.15,923.05,919.47,920.38,78227300.0,14844900000
"Jan 29, 2017",922.07,923.42,919.15,919.5,60851700.0,14874000000
"Jan 28, 2017",919.81,923.91,919.81,921.59,68979600.0,14835800000
"Jan 27, 2017",918.36,923.22,915.85,919.75,125594000.0,14810400000
"Jan 26, 2017",902.39,919.33,902.22,917.59,131958000.0,14551200000
"Jan 25, 2017",891.92,903.25,891.69,901.54,120831000.0,14380700000
"Jan 24, 2017",910.68,924.14,892.29,892.69,111349000.0,14681400000
"Jan 23, 2017",925.5,928.27,916.74,921.01,73588600.0,14918800000
"Jan 22, 2017",922.21,937.52,897.56,924.67,116573000.0,14863600000
"Jan 21, 2017",895.55,927.37,895.53,921.79,111158000.0,14432000000
"Jan 20, 2017",898.17,899.4,887.01,895.03,86728400.0,14472100000
"Jan 19, 2017",888.34,904.61,884.34,899.07,105625000.0,14311700000
"Jan 18, 2017",909.37,917.5,858.3,886.62,225677000.0,14648900000
"Jan 17, 2017",830.95,910.56,830.8,907.94,155095000.0,13383900000
"Jan 16, 2017",821.78,834.53,820.27,831.53,82755200.0,13234600000
"Jan 15, 2017",818.14,823.31,812.87,821.8,71013600.0,13174300000
"Jan 14, 2017",825.14,835.09,812.46,818.41,93063300.0,13285200000
"Jan 13, 2017",803.74,829.0,780.0,823.98,168968000.0,12939100000
"Jan 12, 2017",775.18,826.25,755.76,804.83,222326000.0,12477600000
"Jan 11, 2017",908.12,919.45,762.76,777.76,310929000.0,14615700000
"Jan 10, 2017",902.44,914.87,901.06,907.68,115808000.0,14522600000
"Jan 09, 2017",913.24,913.69,879.81,902.83,141877000.0,14694900000
"Jan 08, 2017",908.17,942.72,887.25,911.2,158715000.0,14611400000
"Jan 07, 2017",903.49,908.59,823.56,908.59,279550000.0,14534400000
"Jan 06, 2017",1014.24,1046.81,883.94,902.2,351876000.0,16314100000
"Jan 05, 2017",1156.73,1191.1,910.42,1013.38,510199000.0,18604000000
"Jan 04, 2017",1044.4,1159.42,1044.4,1154.73,344946000.0,16795400000
"Jan 03, 2017",1021.6,1044.08,1021.6,1043.84,185168000.0,16426600000
"Jan 02, 2017",998.62,1031.39,996.7,1021.75,222185000.0,16055100000
"Jan 01, 2017",963.66,1003.08,958.7,998.33,147775000.0,15491200000
"Dec 31, 2016",960.63,963.74,947.24,963.74,99135100.0,15440700000
"Dec 30, 2016",972.53,972.53,934.83,961.24,187474000.0,15630200000
"Dec 29, 2016",975.13,979.4,954.5,973.5,199320000.0,15670000000
"Dec 28, 2016",934.83,975.92,934.83,975.92,236630000.0,15020500000
"Dec 27, 2016",908.35,940.05,904.25,933.2,167308000.0,14593300000
"Dec 26, 2016",896.9,913.18,896.9,907.61,123771000.0,14407800000
"Dec 25, 2016",899.65,899.65,862.42,896.18,143665000.0,14450100000
"Dec 24, 2016",922.18,923.48,886.34,898.82,137727000.0,14810300000
"Dec 23, 2016",864.89,925.12,864.68,921.98,275564000.0,13888600000
"Dec 22, 2016",834.18,875.78,834.15,864.54,200027000.0,13393800000
"Dec 21, 2016",800.64,834.28,799.4,834.28,155576000.0,12853700000
"Dec 20, 2016",792.25,801.34,791.5,800.88,99629300.0,12717600000
"Dec 19, 2016",790.69,793.61,790.32,792.71,74886400.0,12691100000
"Dec 18, 2016",791.01,794.74,788.03,790.53,60524400.0,12694800000
"Dec 17, 2016",785.17,792.51,784.86,790.83,78989800.0,12599600000
"Dec 16, 2016",778.96,785.03,778.96,784.91,83608200.0,12498800000
"Dec 15, 2016",780.07,781.43,777.8,778.09,81580100.0,12511700000
"Dec 14, 2016",780.0,782.03,776.84,781.48,75979000.0,12512900000
"Dec 13, 2016",780.65,788.46,777.96,780.56,81645600.0,12521500000
"Dec 12, 2016",770.04,781.92,770.04,780.09,76571000.0,12349800000
"Dec 11, 2016",774.75,774.8,765.41,769.73,57313400.0,12423600000
"Dec 10, 2016",773.02,777.09,772.91,774.65,53843100.0,12394500000
"Dec 09, 2016",769.94,774.53,769.65,772.79,68705300.0,12344000000
"Dec 08, 2016",768.08,774.7,765.95,770.81,80111900.0,12312500000
"Dec 07, 2016",764.21,771.54,759.75,768.13,96426100.0,12248900000
"Dec 06, 2016",758.72,765.62,758.72,764.22,116218000.0,12159400000
"Dec 05, 2016",773.39,773.47,751.71,758.7,106363000.0,12393100000
"Dec 04, 2016",771.64,773.87,768.16,773.87,60557900.0,12363600000
"Dec 03, 2016",778.25,778.25,764.86,771.15,69547300.0,12467800000
"Dec 02, 2016",757.54,781.3,757.54,777.94,127605000.0,12134800000
"Dec 01, 2016",746.05,758.27,746.05,756.77,80461900.0,11949200000
"Nov 30, 2016",736.28,747.93,736.26,745.69,84070800.0,11791600000
"Nov 29, 2016",736.33,737.47,734.56,735.6,68511100.0,11790900000
"Nov 28, 2016",732.48,738.01,732.48,735.81,61888600.0,11727800000
"Nov 27, 2016",735.44,739.02,731.09,732.03,52601800.0,11773800000
"Nov 26, 2016",741.51,742.21,729.63,735.38,54962700.0,11869600000
"Nov 25, 2016",740.44,741.65,734.59,741.65,67807600.0,11851100000
"Nov 24, 2016",744.62,746.83,733.49,740.29,85919300.0,11916500000
"Nov 23, 2016",751.74,752.25,738.92,744.59,76543800.0,12029000000
"Nov 22, 2016",739.64,753.87,736.53,751.35,129906000.0,11834200000
"Nov 21, 2016",731.26,741.72,730.51,739.25,60802400.0,11698900000
"Nov 20, 2016",751.88,755.48,717.94,731.03,154116000.0,12027500000
"Nov 19, 2016",751.83,756.24,744.47,751.62,110608000.0,12025400000
"Nov 18, 2016",740.71,752.88,736.89,751.59,87363100.0,11846000000
"Nov 17, 2016",744.88,755.64,739.51,740.98,108579000.0,11911300000
"Nov 16, 2016",711.17,747.62,709.04,744.2,141294000.0,11370700000
"Nov 15, 2016",705.79,715.72,705.26,711.62,72038500.0,11283400000
"Nov 14, 2016",702.0,706.28,699.81,705.02,62993000.0,11214600000
"Nov 13, 2016",705.2,705.26,687.32,702.03,80318100.0,11264500000
"Nov 12, 2016",716.75,717.15,704.03,705.05,64622500.0,11447700000
"Nov 11, 2016",715.55,718.32,714.41,716.41,63119700.0,11427200000
"Nov 10, 2016",722.84,723.02,711.21,715.53,68807800.0,11542100000
"Nov 09, 2016",709.83,740.05,708.61,723.27,132429000.0,11333000000
"Nov 08, 2016",703.09,712.99,702.39,709.85,79660800.0,11224000000
"Nov 07, 2016",710.74,710.74,699.9,703.13,65047100.0,11344800000
"Nov 06, 2016",703.81,714.26,699.56,711.52,59902200.0,11233000000
"Nov 05, 2016",703.52,707.51,697.74,703.42,53752300.0,11227200000
"Nov 04, 2016",689.12,706.93,685.56,703.24,99907700.0,10996400000
"Nov 03, 2016",742.35,745.77,678.16,688.7,172808000.0,11844300000
"Nov 02, 2016",730.07,740.83,722.35,740.83,84865200.0,11647200000
"Nov 01, 2016",701.34,736.45,701.34,729.79,130527000.0,11187700000
"Oct 31, 2016",702.64,709.29,691.68,700.97,97064400.0,11207200000
"Oct 30, 2016",714.12,714.12,696.48,701.86,100665000.0,11388800000
"Oct 29, 2016",690.29,720.4,690.05,714.48,134761000.0,11007600000
"Oct 28, 2016",688.0,690.44,684.16,689.65,81145500.0,10969800000
"Oct 27, 2016",678.21,688.59,678.04,688.31,96105300.0,10812500000
"Oct 26, 2016",657.68,679.73,657.68,678.3,88877100.0,10484000000
"Oct 25, 2016",654.0,664.42,653.7,657.59,90378800.0,10424300000
"Oct 24, 2016",657.16,657.25,652.6,653.76,62218200.0,10473500000
"Oct 23, 2016",657.62,661.13,653.89,657.07,54474600.0,10479700000
"Oct 22, 2016",633.14,658.2,632.85,657.29,78556500.0,10088400000
"Oct 21, 2016",630.83,634.09,630.69,632.83,55951000.0,10050300000
"Oct 20, 2016",630.66,631.92,628.26,630.86,56957300.0,10046700000
"Oct 19, 2016",638.13,638.87,628.01,630.52,69381700.0,10164800000
"Oct 18, 2016",639.41,640.74,636.0,637.96,65546700.0,10184000000
"Oct 17, 2016",641.82,642.33,638.66,639.19,58063600.0,10221300000
"Oct 16, 2016",639.08,642.9,638.9,641.63,40298100.0,10176800000
"Oct 15, 2016",640.31,642.1,637.39,638.65,39035400.0,10195200000
"Oct 14, 2016",637.01,641.28,637.01,640.38,58144600.0,10141600000
"Oct 13, 2016",636.03,638.83,635.03,636.79,61620700.0,10125100000
"Oct 12, 2016",640.87,641.34,635.97,636.19,92370200.0,10201000000
"Oct 11, 2016",619.24,642.08,618.5,641.07,103590000.0,9855650000
"Oct 10, 2016",616.82,621.32,616.2,618.99,67481100.0,9816270000
"Oct 09, 2016",619.17,619.2,616.61,616.75,39243400.0,9852480000
"Oct 08, 2016",617.34,619.85,617.34,619.11,42345900.0,9822100000
"Oct 07, 2016",612.61,617.91,611.82,617.12,64071400.0,9745740000
"Oct 06, 2016",612.47,613.82,611.47,613.02,56812100.0,9742370000
"Oct 05, 2016",610.22,613.81,609.62,612.51,68077500.0,9705320000
"Oct 04, 2016",612.05,612.05,609.48,610.2,49801600.0,9733330000
"Oct 03, 2016",610.97,612.57,610.46,612.13,46798300.0,9714980000
"Oct 02, 2016",613.95,614.0,609.68,610.89,39249800.0,9761330000
"Oct 01, 2016",609.93,615.24,609.93,613.98,56357000.0,9696280000
"Sep 30, 2016",605.72,609.74,604.14,609.74,56122400.0,9628250000
"Sep 29, 2016",605.02,606.82,604.85,605.69,55658600.0,9616160000
"Sep 28, 2016",606.24,606.59,604.61,604.73,48722600.0,9634530000
"Sep 27, 2016",608.02,608.25,604.11,606.17,49422400.0,9661590000
"Sep 26, 2016",600.81,608.14,600.35,608.04,59153800.0,9545830000
"Sep 25, 2016",602.75,603.38,599.71,600.83,33977800.0,9575360000
"Sep 24, 2016",602.96,604.58,602.04,602.63,35359500.0,9577520000
"Sep 23, 2016",596.2,603.21,595.79,602.84,51067000.0,9469130000
"Sep 22, 2016",597.28,598.49,596.21,596.3,67085300.0,9485280000
"Sep 21, 2016",603.59,603.59,595.88,597.15,82776200.0,9584260000
"Sep 20, 2016",609.25,609.52,607.94,608.31,72710900.0,9673140000
"Sep 19, 2016",609.87,610.93,608.27,609.23,54796400.0,9681960000
"Sep 18, 2016",606.28,610.16,605.86,609.87,48679400.0,9623950000
"Sep 17, 2016",607.22,607.86,605.19,605.98,37140300.0,9637600000
"Sep 16, 2016",607.25,609.26,606.74,606.97,64963400.0,9637020000
"Sep 15, 2016",610.59,611.09,607.15,607.15,59464600.0,9688940000
"Sep 14, 2016",608.84,611.95,608.41,610.68,47877700.0,9660080000
"Sep 13, 2016",608.02,611.19,606.92,609.24,86920600.0,9645930000
"Sep 12, 2016",607.0,608.46,605.41,608.24,72812300.0,9628560000
"Sep 11, 2016",623.42,628.82,600.51,606.72,73610800.0,9887780000
"Sep 10, 2016",622.93,625.1,622.39,623.51,45016800.0,9878730000
"Sep 09, 2016",626.35,626.83,620.26,622.86,64550200.0,9931980000
"Sep 08, 2016",614.63,628.77,613.84,626.32,86713000.0,9745120000
"Sep 07, 2016",610.57,614.54,608.51,614.54,75032400.0,9679610000
"Sep 06, 2016",606.51,610.83,605.09,610.44,78529100.0,9614140000
"Sep 05, 2016",608.99,609.05,602.24,606.59,82446800.0,9652490000
"Sep 04, 2016",598.59,611.84,596.85,608.63,97942900.0,9486370000
"Sep 03, 2016",575.55,599.5,574.06,598.21,159014000.0,9120440000
"Sep 02, 2016",572.41,575.64,570.81,575.54,79910800.0,9069550000
"Sep 01, 2016",575.55,576.31,571.81,572.3,76923400.0,9118280000
"Aug 31, 2016",577.59,577.86,573.64,575.47,75840900.0,9149730000
"Aug 30, 2016",574.11,578.36,574.11,577.5,70342400.0,9093530000
"Aug 29, 2016",574.07,576.28,573.47,574.11,110398000.0,9091830000
"Aug 28, 2016",569.83,574.04,569.74,573.91,86301600.0,9023610000
"Aug 27, 2016",579.45,579.85,568.63,569.95,59698300.0,9174990000
"Aug 26, 2016",577.75,580.62,576.86,579.65,48856800.0,9147170000
"Aug 25, 2016",580.18,580.45,575.17,577.76,136130000.0,9184700000
"Aug 24, 2016",583.41,583.59,579.86,580.18,56328200.0,9234800000
"Aug 23, 2016",586.77,589.47,581.63,583.41,85349200.0,9286930000
"Aug 22, 2016",581.31,588.45,580.59,586.75,72844000.0,9199410000
"Aug 21, 2016",581.94,584.16,580.22,581.31,38299400.0,9208210000
"Aug 20, 2016",576.08,582.82,575.46,581.7,45301400.0,9114500000
"Aug 19, 2016",574.34,578.24,574.18,575.63,50631600.0,9085820000
"Aug 18, 2016",573.71,577.79,573.43,574.32,59896600.0,9074760000
